date,variable,value
2022-07-28,result,32.0
2022-07-29,result,23.0
2022-07-30,result,0.0
2022-07-31,result,0.0
2022-08-01,result,27.0
2022-08-02,result,26.0
2022-08-03,result,39.0
2022-08-04,result,39.0
2022-08-05,result,18.0
2022-08-06,result,0.0
2022-08-07,result,0.0
2022-08-08,result,26.0
2022-08-09,result,27.0
2022-08-10,result,40.0
2022-08-11,result,28.0
2022-08-12,result,27.0
2022-08-13,result,0.0
2022-08-14,result,0.0
2022-08-15,result,21.0
2022-08-16,result,22.0
2022-08-17,result,22.0
2022-08-18,result,23.0
2022-08-19,result,19.0
2022-08-20,result,0.0
2022-08-21,result,0.0
2022-08-22,result,19.0
2022-08-23,result,17.0
2022-08-24,result,22.0
2022-08-25,result,20.0
2022-08-26,result,17.0
2022-08-27,result,0.0
2022-07-28,historicalCount,49.0
2022-07-29,historicalCount,42.0
2022-07-30,historicalCount,6.0
2022-07-31,historicalCount,6.0
2022-08-01,historicalCount,37.0
2022-08-02,historicalCount,40.0
2022-08-03,historicalCount,48.0
2022-08-04,historicalCount,49.0
2022-08-05,historicalCount,42.0
2022-08-06,historicalCount,6.0
2022-08-07,historicalCount,6.0
2022-08-08,historicalCount,37.0
2022-08-09,historicalCount,40.0
2022-08-10,historicalCount,48.0
2022-08-11,historicalCount,49.0
2022-08-12,historicalCount,42.0
2022-08-13,historicalCount,6.0
2022-08-14,historicalCount,6.0
2022-08-15,historicalCount,37.0
2022-08-16,historicalCount,40.0
2022-08-17,historicalCount,48.0
2022-08-18,historicalCount,49.0
2022-08-19,historicalCount,42.0
2022-08-20,historicalCount,6.0
2022-08-21,historicalCount,6.0
2022-08-22,historicalCount,37.0
2022-08-23,historicalCount,40.0
2022-08-24,historicalCount,48.0
2022-08-25,historicalCount,49.0
2022-08-26,historicalCount,42.0
2022-08-27,historicalCount,6.0
2022-07-28,predictedCount,36.0
2022-07-29,predictedCount,39.0
2022-07-30,predictedCount,8.0
2022-07-31,predictedCount,8.0
2022-08-01,predictedCount,40.0
2022-08-02,predictedCount,40.0
2022-08-03,predictedCount,58.0
2022-08-04,predictedCount,57.0
2022-08-05,predictedCount,47.0
2022-08-06,predictedCount,9.0
2022-08-07,predictedCount,10.0
2022-08-08,predictedCount,43.0
2022-08-09,predictedCount,52.0
2022-08-10,predictedCount,61.0
2022-08-11,predictedCount,57.0
2022-08-12,predictedCount,52.0
2022-08-13,predictedCount,11.0
2022-08-14,predictedCount,11.0
2022-08-15,predictedCount,45.0
2022-08-16,predictedCount,55.0
2022-08-17,predictedCount,53.0
2022-08-18,predictedCount,54.0
2022-08-19,predictedCount,50.0
2022-08-20,predictedCount,12.0
2022-08-21,predictedCount,12.0
2022-08-22,predictedCount,46.0
2022-08-23,predictedCount,49.0
2022-08-24,predictedCount,55.0
2022-08-25,predictedCount,58.0
2022-08-26,predictedCount,51.0
2022-08-27,predictedCount,13.0
