date,result,numerator,denominator,addOnCount,addOnMinutes,historicalCount,historicalMinutes,predictedCount,predictedMinutes,minutePercentage,casePercentage,locationId,surgeonId,surgeonName,locationName
2022-08-08,122.0,9681.0,122.0,16.0,2072.0,94.0,6193.0,136.0,9180.0,0.0,0.0,,,,
2022-08-09,99.0,7376.0,99.0,0.0,0.0,107.0,7820.0,125.0,7806.0,0.0,0.0,,,,
2022-08-10,93.0,8118.0,93.0,0.0,0.0,124.0,9100.0,125.0,13236.0,0.0,0.0,,,,
2022-08-11,104.0,8040.0,104.0,0.0,0.0,120.0,7693.0,135.0,9531.0,0.0,0.0,,,,
2022-08-12,96.0,5935.0,96.0,0.0,0.0,101.0,6803.0,133.0,8878.0,0.0,0.0,,,,
2022-08-13,0.0,0.0,0.0,0.0,0.0,15.0,1185.0,26.0,2273.0,0.0,0.0,,,,
2022-08-14,1.0,84.0,1.0,0.0,0.0,10.0,840.0,24.0,3012.0,0.0,0.0,,,,
2022-08-15,104.0,7367.0,104.0,0.0,0.0,94.0,6193.0,144.0,10848.0,0.0,0.0,,,,
2022-08-16,86.0,6944.0,86.0,0.0,0.0,107.0,7820.0,136.0,11642.0,0.0,0.0,,,,
2022-08-17,90.0,5847.0,90.0,0.0,0.0,124.0,9100.0,147.0,10862.0,0.0,0.0,,,,
2022-08-18,98.0,6660.0,98.0,0.0,0.0,120.0,7693.0,151.0,9542.0,0.0,0.0,,,,
2022-08-19,65.0,4887.0,65.0,0.0,0.0,101.0,6803.0,132.0,11136.0,0.0,0.0,,,,
2022-08-20,0.0,0.0,0.0,0.0,0.0,15.0,1185.0,27.0,2310.0,0.0,0.0,,,,
2022-08-21,0.0,0.0,0.0,0.0,0.0,10.0,840.0,25.0,2931.0,0.0,0.0,,,,
2022-08-22,51.0,4105.0,51.0,0.0,0.0,94.0,6193.0,120.0,7605.0,0.0,0.0,,,,
2022-08-23,51.0,4833.0,51.0,0.0,0.0,107.0,7820.0,119.0,8774.0,0.0,0.0,,,,
2022-08-24,67.0,4838.0,67.0,0.0,0.0,124.0,9100.0,143.0,9402.0,0.0,0.0,,,,
2022-08-25,67.0,5000.0,67.0,0.0,0.0,120.0,7693.0,136.0,98343.0,0.0,0.0,,,,
2022-08-26,28.0,1626.0,28.0,0.0,0.0,101.0,6803.0,107.0,6594.0,0.0,0.0,,,,
2022-08-27,0.0,0.0,0.0,0.0,0.0,15.0,1185.0,28.0,1327.0,0.0,0.0,,,,
2022-08-28,0.0,0.0,0.0,0.0,0.0,10.0,840.0,21.0,1034.0,0.0,0.0,,,,
2022-08-29,63.0,5188.0,63.0,0.0,0.0,94.0,6193.0,130.0,10085.0,0.0,0.0,,,,
2022-08-30,62.0,3759.0,62.0,0.0,0.0,107.0,7820.0,135.0,10018.0,0.0,0.0,,,,
2022-08-31,63.0,3915.0,63.0,0.0,0.0,124.0,9100.0,153.0,12124.0,0.0,0.0,,,,
2022-09-01,63.0,3536.0,63.0,0.0,0.0,120.0,7693.0,145.0,13693.0,0.0,0.0,,,,
2022-09-02,46.0,2589.0,46.0,0.0,0.0,101.0,6803.0,132.0,7929.0,0.0,0.0,,,,
2022-09-03,0.0,0.0,0.0,0.0,0.0,15.0,1185.0,27.0,1331.0,0.0,0.0,,,,
2022-09-04,0.0,0.0,0.0,0.0,0.0,10.0,840.0,18.0,946.0,0.0,0.0,,,,
2022-09-05,0.0,0.0,0.0,0.0,0.0,94.0,6193.0,74.0,3874.0,0.0,0.0,,,,
2022-09-06,29.0,1743.0,29.0,0.0,0.0,107.0,7820.0,119.0,8330.0,0.0,0.0,,,,
2022-09-07,60.0,3473.0,60.0,0.0,0.0,124.0,9100.0,145.0,11422.0,0.0,0.0,,,,
